#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	conn
#open	2020-08-06-15-46-13
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	local_resp	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents
#types	time	string	addr	port	addr	port	enum	string	interval	count	count	string	bool	bool	count	string	count	count	count	count	set[string]
1470865195.296167	C9wCCn17lvZD1fospf	10.10.10.108	58702	120.52.72.23	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470865195.296501	Cpo5YK3Y1Bw0V8Z4Ua	10.10.10.108	53455	120.52.72.22	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470865195.296961	CNWH4p4ol1HSj414eg	10.10.10.108	38951	120.52.72.19	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470865195.297467	CT7IvS37kkFUpg1zK9	10.10.10.108	60482	91.189.95.83	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470865195.297711	CxW9bg3HTFasnwi9F4	10.10.10.108	55566	91.189.92.191	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470865195.297948	CV3V5830SZO6QU4LNh	10.10.10.108	35780	91.189.91.26	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470865195.298379	CYZDhvhzmAO47cHIe	10.10.10.108	54947	208.77.20.11	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470865195.298595	C36lNu1l1O63IlcuId	10.10.10.108	43379	210.32.158.231	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470864762.569448	CX09Rj1CmfTBMsRIM7	10.10.10.108	33389	120.52.72.20	80	tcp	-	432.751197	0	6411813	SHR	-	-	0	^hCadCtCttCf	0	0	4493	6649777	-
1470865200.492887	CmVZpK19yL5UKHW8lc	10.10.10.108	38951	120.52.72.19	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470865200.612856	Ca516t4DQR7Fzar4ah	10.10.10.108	58702	120.52.72.23	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470865200.980857	CeSLkn1ZEIiOweDeI2	10.10.10.108	54947	208.77.20.11	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470865201.748864	C875Na4cdjOzxnXxL1	10.10.10.108	55566	91.189.92.191	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470865202.596863	CCmdn34rBf5lMLgsJ6	10.10.10.108	42908	120.52.72.24	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470865202.612868	Cc9r4o3FecJbKw1rCk	10.10.10.108	60482	91.189.95.83	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470865203.364857	CAThIm28dGJbYKp6B7	10.10.10.108	53455	120.52.72.22	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470865203.508853	COIG3n2exqTpyJE0Sl	10.10.10.108	43379	210.32.158.231	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470865204.980854	CPyC6s1wG7OnD0Dibf	10.10.10.108	35780	91.189.91.26	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470865205.684886	CxJFD5cpRmAJuHB95	10.10.10.108	38951	120.52.72.19	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470865205.940850	CdVOMx3BkuJY7yz9e2	10.10.10.108	58702	120.52.72.23	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470865206.724889	CDEIx2I0c1S0zMYh7	10.10.10.108	54947	208.77.20.11	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470865208.452907	CWhgVZ2ryTdflXqk06	10.10.10.108	55566	91.189.92.191	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470865209.908888	CB0lfH2UjQ169rwBR9	10.10.10.108	42908	120.52.72.24	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470865210.244885	CmC8sx3ap0YzE3PlLi	10.10.10.108	60482	91.189.95.83	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470865211.444881	CMlKky2rdck8jJPmbg	10.10.10.108	53455	120.52.72.22	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470865211.716893	C70oD72rogLItqSdF	10.10.10.108	43379	210.32.158.231	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470865214.660900	CCm28hxo7rAbjwiR9	10.10.10.108	35780	91.189.91.26	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470865216.068858	CH3oav2C9m2MYG9L9e	10.10.10.108	38951	120.52.72.19	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470865216.580898	CeF5QR3hwuZExHZxki	10.10.10.108	58702	120.52.72.23	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470865218.212875	CfiLPfwf4rL4FPo15	10.10.10.108	54947	208.77.20.11	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470865221.860896	Cdic8C3vqGOyJW1jA6	10.10.10.108	55566	91.189.92.191	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470865224.548908	ChsWda2w00a2bsqzF7	10.10.10.108	42908	120.52.72.24	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470865225.508898	CF09TlILxfD9OhCWi	10.10.10.108	60482	91.189.95.83	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470865227.620886	C66iA229JpFB8Qc0T8	10.10.10.108	53455	120.52.72.22	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470865228.132859	C0dkLU36bytykQXV46	10.10.10.108	43379	210.32.158.231	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470865234.020863	CY2Iam2ZulAeF0l28h	10.10.10.108	35780	91.189.91.26	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470865236.836893	CvK7Xc1Mvw3dCcOPVd	10.10.10.108	38951	120.52.72.19	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470865237.860886	CKKDxB1a6kgrrqTzj8	10.10.10.108	58702	120.52.72.23	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470865241.188860	CSiggG3Kq4stZw9t8b	10.10.10.108	54947	208.77.20.11	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470865248.676913	Cm1k5mS5PllQD3lt9	10.10.10.108	55566	91.189.92.191	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470865253.796916	Cw1qQP1Tx7X8u71IQc	10.10.10.108	42908	120.52.72.24	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470865192.011674	CvPLiI1r2yEqjMv3M3	10.10.10.108	138	10.10.10.255	138	udp	-	8.009473	1015	0	S0	-	-	0	CD	5	1155	0	0	-
1470865256.036836	CpCQw31mOf2unP294	10.10.10.108	60482	91.189.95.83	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470865259.940862	CsAvUc1WSSSM9mYj1j	10.10.10.108	53455	120.52.72.22	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470865260.964871	CNc7hX3Hm2kmTLK10f	10.10.10.108	43379	210.32.158.231	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470865272.740901	CWiCBG3g74uPS1rif8	10.10.10.108	35780	91.189.91.26	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470865278.372899	CF2Cja38owptD1vaF2	10.10.10.108	38951	120.52.72.19	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470865280.420895	C1ZKP13tMSpig58H2l	10.10.10.108	58702	120.52.72.23	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470865287.076919	Ck8ypm1vpybKvcooR3	10.10.10.108	54947	208.77.20.11	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470865480.296357	Cuh9wn3sR93ihwnGA8	10.10.10.108	137	10.10.10.255	137	udp	dns	4.004779	200	0	S0	-	-	0	CD	4	312	0	0	-
1470865495.312412	CtGE92p3rPC78Jau7	10.10.10.108	138	10.10.10.255	138	udp	-	8.009556	1015	0	S0	-	-	0	CD	5	1155	0	0	-
1470865643.463616	CpCwY31WptnrEle2Vj	10.10.10.108	138	10.10.10.255	138	udp	-	0.000098	248	0	S0	-	-	0	CD	1	276	0	0	-
1470865783.606137	CFgoS140I5FpaSKtUe	10.10.10.108	137	10.10.10.255	137	udp	dns	4.004906	200	0	S0	-	-	0	CD	4	312	0	0	-
1470865798.622385	CNDHHT3X28Dmj5dZG2	10.10.10.108	138	10.10.10.255	138	udp	-	8.009900	1015	0	S0	-	-	0	CD	5	1155	0	0	-
1470866087.017374	CaV09I1yZ7vBSOidV	10.10.10.108	137	10.10.10.255	137	udp	dns	4.004797	200	0	S0	-	-	0	CD	4	312	0	0	-
1470866084.844423	CGGSXs69YPumtHZs5	10.10.10.108	68	10.10.10.1	67	udp	dhcp	0.001320	0	548	SHR	-	-	0	Cd	0	0	1	576	-
1470866102.033468	CN9cWs2LcjbkMUEQQ9	10.10.10.108	138	10.10.10.255	138	udp	-	8.009525	1015	0	S0	-	-	0	CD	5	1155	0	0	-
1470866390.327503	CFBPYb4ZeNDWV7ERad	10.10.10.108	137	10.10.10.255	137	udp	dns	4.004807	200	0	S0	-	-	0	CD	4	312	0	0	-
1470862845.844039	CJPmgxlNS19xV74Dc	10.10.10.1	1900	239.255.255.250	1900	udp	-	3539.653642	515084	0	S0	-	-	0	D	1586	559492	0	0	-
1470866370.307157	CTiVNN1ZgHVdOSEeD3	10.10.10.108	138	10.10.10.255	138	udp	-	0.000094	248	0	S0	-	-	0	CD	1	276	0	0	-
1470862807.868913	CrDj0a3K5IrvhSXhY4	::	135	ff02::1:ffc3:3e67	136	icmp	-	3583.340067	5728	0	OTH	-	-	0	-	358	22912	0	0	-
1470862806.960996	CGffvEGA7EjBaNDK8	fe80::3ece:73ff:fe8e:3728	134	ff02::1	133	icmp	-	3584.202753	20048	0	OTH	-	-	0	-	358	37232	0	0	-
#close	2020-08-06-15-46-13
