#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	conn
#open	2020-08-06-15-46-13
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	local_resp	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents
#types	time	string	addr	port	addr	port	enum	string	interval	count	count	string	bool	bool	count	string	count	count	count	count	set[string]
1470864763.585497	Cvmjwg3iU9I18G9zU3	10.10.10.108	38944	120.52.72.19	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470864763.585012	C6agsG454isGHfNNyl	10.10.10.108	52154	91.189.88.152	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470864764.124923	C9iNOp4ECSDZcE60mj	10.10.10.108	52156	91.189.88.152	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470864764.802396	CRMFvM1gRzMEZ6sFQh	10.10.10.108	52157	91.189.88.152	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470864765.434579	CsURaXvvpVLvPshf9	10.10.10.108	52158	91.189.88.152	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470864766.055890	ClEy4wrHNzWewp62l	10.10.10.108	52159	91.189.88.152	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470864761.379350	C3aTB83XuhSGFSBTs5	10.10.10.108	60472	91.189.95.83	80	tcp	-	3.556509	0	431	SHR	-	-	0	^hCadftC	0	0	10	1568	-
1470864761.769434	CQw0Vt4iTo7erjAH4c	10.10.10.108	38931	120.52.72.19	80	tcp	-	1.867925	0	4870	SHR	-	-	0	^hCadftC	0	0	11	8330	-
1470864761.249498	CYmKu01wSdSLRztDv7	10.10.10.108	54930	208.77.20.11	80	tcp	-	0.699963	0	648	SHR	-	-	0	^hCadf	0	0	6	968	-
1470864766.543838	C2FFGn2sbDXbUUV0Jk	10.10.10.108	52160	91.189.88.152	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470864761.290408	CiS9un4KoDsQLv9kb4	10.10.10.108	55557	91.189.92.191	80	tcp	-	3.452491	0	822	SHR	-	-	0	^hCadftC	0	0	12	1748	-
1470864767.162054	CpFKdLxBpeyXvBTlh	10.10.10.108	38951	120.52.72.19	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470864761.959409	C8F8j91IwlsDwrbaTa	10.10.10.108	54934	208.77.20.11	80	tcp	-	0.480007	0	194	SHR	-	-	0	^hCadf	0	0	5	462	-
1470864762.499404	CZy1chzVJFtGiEVje	10.10.10.108	55563	91.189.92.191	80	tcp	-	3.032670	0	207	SHR	-	-	0	^hCadftC	0	0	9	977	-
1470864767.161867	CU0TL32fpMA7OAG5R6	10.10.10.108	52161	91.189.88.152	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470864762.099442	C6JL9XSd1fG7GH5Dk	10.10.10.108	60474	91.189.95.83	80	tcp	-	1.071583	0	451	SHR	-	-	0	^hCadf	0	0	7	823	-
1470864762.829583	ChFMtS3cqKBa3K06Jc	10.10.10.108	55566	91.189.92.191	80	tcp	-	2.917990	0	206	SHR	-	-	0	^hCadft	0	0	9	976	-
1470864762.439425	CyxLAw4qQQtGSMHFug	10.10.10.108	54937	208.77.20.11	80	tcp	-	0.570080	0	194	SHR	-	-	0	^hCadf	0	0	5	462	-
1470864767.758947	CUlOoD321jgamhtoAl	10.10.10.108	52163	91.189.88.152	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470864763.129466	C1atQ82ALUxoFx5hIe	10.10.10.108	60482	91.189.95.83	80	tcp	-	2.209918	0	220	SHR	-	-	0	^hCadft	0	0	8	842	-
1470864761.319506	CZ6LXEt1NwzrY7jej	10.10.10.108	52134	91.189.88.152	80	tcp	-	2.169403	1	147488	RSTO	-	-	0	^hCadCfRR	2	80	56	71383	-
1470864768.159116	CzGubd4b2YPnf4aF4b	10.10.10.108	52164	91.189.88.152	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470864763.009536	CJeQvo2FntWmjV2QN4	10.10.10.108	54942	208.77.20.11	80	tcp	-	0.599909	0	194	SHR	-	-	0	^hCadf	0	0	4	410	-
1470864763.639452	CqFDvvvlGEA9gbTli	10.10.10.108	38944	120.52.72.19	80	tcp	-	3.622190	0	16256	SHR	-	-	0	^hCadCf	0	0	17	17148	-
1470864768.558405	CLJ3Mw3wHzjLjrMhp6	10.10.10.108	52165	91.189.88.152	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470864763.519464	Czdqi4390FQ6zxFM2	10.10.10.108	52151	91.189.88.152	80	tcp	-	0.441494	1	14399	RSTO	-	-	0	^hCadfRR	12	480	17	15472	-
1470864769.205223	CuFpItneFJTaOO3ic	10.10.10.108	42908	120.52.72.24	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470864768.957963	CPFdPC4U9omwWpfFce	10.10.10.108	52166	91.189.88.152	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470864764.030135	C9mpkl4qnWHE4J7VLl	10.10.10.108	52154	91.189.88.152	80	tcp	-	0.481408	1	14279	RSTO	-	-	0	^hCadfRR	10	400	15	12390	-
1470864769.666255	ClEoyk2YQSd7a6Fq32	10.10.10.108	52168	91.189.88.152	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470864764.629443	CizH6F1ZAJ0gJChJK4	10.10.10.108	52156	91.189.88.152	80	tcp	-	0.450420	1	15148	RSTO	-	-	0	^hCadfRfR	12	480	17	16220	-
1470864770.049951	CDc8pD2RcjzylaXBV2	10.10.10.108	52169	91.189.88.152	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470864765.280302	CllBU62uksr8FLoFq	10.10.10.108	52157	91.189.88.152	80	tcp	-	0.469623	1	14279	RSTO	-	-	0	^hCadfRR	12	480	17	15345	-
1470864770.517067	CrclYXGMUJ6EkT9kf	10.10.10.108	52170	91.189.88.152	80	tcp	-	-	-	-	OTH	-	-	0	C	0	0	0	0	-
1470864760.965868	C2x5ix4G58SWbsh8Gc	10.10.10.108	49514	10.10.10.1	53	udp	dns	0.023952	0	100	SHR	-	-	0	Cd	0	0	1	128	-
1470864760.965888	CrhCvx4GiGSweBPjg7	10.10.10.108	3667	10.10.10.1	53	udp	dns	0.073761	0	133	SHR	-	-	0	Cd	0	0	1	161	-
1470864760.965899	C8Llm74EVxyBvKPi66	10.10.10.108	9896	10.10.10.1	53	udp	dns	0.024123	0	205	SHR	-	-	0	Cd	0	0	1	233	-
1470864760.965907	CUESoh2PcMw392q3F7	10.10.10.108	19042	10.10.10.1	53	udp	dns	0.024363	0	148	SHR	-	-	0	Cd	0	0	1	176	-
1470864760.966099	C1cmPX1voU1ohvtj98	10.10.10.108	53474	10.10.10.1	53	udp	dns	0.033615	0	52	SHR	-	-	0	Cd	0	0	1	80	-
1470864760.966120	CxY5FEQfELzmor914	10.10.10.108	20217	10.10.10.1	53	udp	dns	0.033785	0	69	SHR	-	-	0	Cd	0	0	1	97	-
1470864760.966138	CIRyqg4uAjUSES8jzg	10.10.10.108	20671	10.10.10.1	53	udp	dns	0.003358	0	64	SHR	-	-	0	Cd	0	0	1	92	-
